Work,Education,MaritalStatus,Occupation,Relationship,Race,Gender,Country,Salary
Self-emp,<Gr12,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Professional,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,South-America,<50K
Government,Associate,Separated,Military,Own-child,White,Female,Carribean,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Separated,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Widowed,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Private,Associate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,South-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Professional,Unmarried,Amer-Indian-Eskimo,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,White,Male,North-America,>=50K
Private,<Gr12,Married,Service,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Doctorate,Separated,Professional,Not-in-family,White,Female,North-America,>=50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Government,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Married,Service,Wife,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,Masters,Married,Professional,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,Black,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Not-Married,Manual Labour,Unmarried,Asian-Pac-Islander,Female,North-America,<50K
Government,Masters,Separated,Professional,Not-in-family,Asian-Pac-Islander,Female,North-America,<50K
Private,Doctorate,Not-Married,Admin,Own-child,White,Male,North-America,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,Associate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,Associate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,Associate,Married,Office Labour,Wife,White,Female,North-America,<50K
Government,<Gr12,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,<Gr12,Married,Service,Husband,White,Male,South-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,Europe,>=50K
Private,Bachelors,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,Black,Female,Carribean,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Professional,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Government,Bachelors,Married,Military,Wife,Black,Female,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,HS-Graduate,Widowed,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,White,Male,North-America,<50K
Private,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Admin,Own-child,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Professional,Own-child,Asian-Pac-Islander,Male,Asia,<50K
Government,HS-Graduate,Widowed,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Admin,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,Amer-Indian-Eskimo,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,Other,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Not-Married,Service,Own-child,Black,Female,North-America,<50K
Private,Bachelors,Separated,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Professional,Own-child,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Service,Wife,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,Black,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Associate,Not-Married,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Military,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Widowed,Service,Other-relative,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Other-relative,White,Male,South-America,<50K
Private,Masters,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Service,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Unmarried,Black,Female,North-America,<50K
Government,HS-Graduate,Separated,Service,Not-in-family,Black,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Professional,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Unmarried,Black,Female,Carribean,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Own-child,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,Black,Female,North-America,<50K
Private,HS-Graduate,Separated,Service,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Widowed,Office Labour,Unmarried,White,Female,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Married,Manual Labour,Husband,Black,Male,North-America,>=50K
Government,Bachelors,Separated,Office Labour,Not-in-family,White,Female,North-America,>=50K
Self-emp,Bachelors,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Masters,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Self-emp,Associate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Separated,Professional,Unmarried,Black,Female,Carribean,<50K
Government,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Admin,Other-relative,Asian-Pac-Islander,Female,North-America,<50K
Government,Masters,Separated,Professional,Unmarried,Black,Female,North-America,<50K
Private,<Gr12,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Other-relative,White,Male,South-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,Amer-Indian-Eskimo,Male,North-America,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,>=50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,Masters,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Female,North-America,<50K
Self-emp,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Government,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Admin,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Military,Own-child,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Professional,Unmarried,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Government,Bachelors,Separated,Admin,Not-in-family,Black,Female,North-America,<50K
Government,HS-Graduate,Separated,Military,Own-child,Other,Male,North-America,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Government,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Married,Professional,Husband,White,Male,North-America,<50K
Government,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,Associate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Service,Unmarried,Black,Female,North-America,<50K
Government,Associate,Married,Military,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Unmarried,White,Female,North-America,<50K
Self-emp,Bachelors,Not-Married,Office Labour,Own-child,Asian-Pac-Islander,Male,Middle-East,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Government,Associate,Separated,Professional,Unmarried,White,Male,North-America,>=50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Other-relative,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,Masters,Married,Professional,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Separated,Manual Labour,Other-relative,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Admin,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Associate,Not-Married,Office Labour,Own-child,Black,Female,North-America,<50K
Self-emp,HS-Graduate,Not-Married,Office Labour,Unmarried,Asian-Pac-Islander,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,Black,Male,North-America,>=50K
Private,Bachelors,Married,Manual Labour,Husband,White,Male,Europe,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Service,Wife,White,Female,South-America,<50K
Self-emp,Masters,Widowed,Professional,Not-in-family,White,Male,North-America,>=50K
Private,Bachelors,Separated,Professional,Not-in-family,White,Female,North-America,>=50K
Self-emp,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Unmarried,White,Female,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Professional,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Separated,Service,Not-in-family,Black,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,White,Male,North-America,<50K
Government,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Self-emp,HS-Graduate,Not-Married,Service,Unmarried,White,Male,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,Masters,Married,Professional,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Self-emp,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Government,Associate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,Masters,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Service,Not-in-family,Black,Female,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,South-America,<50K
Government,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Widowed,Office Labour,Not-in-family,White,Female,North-America,<50K
Self-emp,Associate,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,<Gr12,Separated,Service,Not-in-family,White,Female,South-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Admin,Unmarried,White,Female,North-America,<50K
Government,HS-Graduate,Separated,Military,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Professional,Wife,White,Female,North-America,>=50K
Private,Masters,Married,Office Labour,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Separated,Professional,Not-in-family,White,Female,North-America,<50K
Private,Doctorate,Not-Married,Professional,Not-in-family,White,Female,North-America,>=50K
Self-emp,HS-Graduate,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Government,Masters,Separated,Professional,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,Associate,Not-Married,Professional,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Wife,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Government,Associate,Not-Married,Professional,Own-child,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Unmarried,White,Female,South-America,<50K
Government,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Male,North-America,<50K
Private,Masters,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Not-Married,Military,Own-child,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Associate,Married,Professional,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Married,Admin,Husband,Amer-Indian-Eskimo,Male,North-America,<50K
Government,HS-Graduate,Married,Admin,Husband,White,Male,Carribean,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Associate,Not-Married,Military,Unmarried,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Masters,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Government,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Self-emp,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Widowed,Manual Labour,Unmarried,Black,Female,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Married,Admin,Wife,White,Female,North-America,>=50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Other-relative,White,Male,South-America,<50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Government,Professional,Married,Professional,Husband,Black,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Private,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Government,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Unmarried,Amer-Indian-Eskimo,Male,South-America,<50K
Government,Masters,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Not-Married,Professional,Own-child,Asian-Pac-Islander,Male,North-America,<50K
Private,Associate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Admin,Wife,Other,Female,South-America,>=50K
Self-emp,<Gr12,Married,Office Labour,Wife,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,Black,Female,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Wife,Asian-Pac-Islander,Female,Asia,>=50K
