job_title,industry,company_size,salary,experience_years,education_level,skills_count,connections,data_source,date_updated
Software Developer,Energy,5000+,127143,16,Certificate,44,3953,linkedin,2025-06-21 00:52:04.500728
Site Reliability Engineer,Manufacturing,501-1000,70277,8,No Degree,49,417,linkedin,2025-08-08 00:52:04.500732
Technical Lead,Financial Services,51-200,76872,8,No Degree,29,4968,linkedin,2025-06-23 00:52:04.500736
Senior Software Developer,Technology,201-500,115447,17,Bachelor,14,407,linkedin,2025-07-16 00:52:04.500740
Software Developer,Retail,1-10,85927,1,Certificate,44,762,linkedin,2025-08-04 00:52:04.500744
Data Engineer,Retail,51-200,79487,19,Master,42,1384,linkedin,2025-08-30 00:52:04.500748
Technical Lead,Media & Communications,51-200,70803,12,Certificate,26,1596,linkedin,2025-08-21 00:52:04.500752
Lead Software Developer,Healthcare,1-10,66573,10,No Degree,44,2632,linkedin,2025-08-13 00:52:04.500756
Software Architect,Financial Services,501-1000,141431,25,No Degree,41,3160,linkedin,2025-06-26 00:52:04.500760
CTO,Financial Services,201-500,133357,19,No Degree,17,1808,linkedin,2025-09-11 00:52:04.500764
Data Engineer,Consulting,1-10,140573,11,Certificate,42,2779,linkedin,2025-07-04 00:52:04.500768
CTO,Technology,1-10,124849,12,Certificate,43,3125,linkedin,2025-09-09 00:52:04.500772
VP of Engineering,Technology,5000+,217195,7,Certificate,12,621,linkedin,2025-08-31 00:52:04.500776
CTO,Government,51-200,98203,2,No Degree,46,1026,linkedin,2025-09-09 00:52:04.500780
Software Architect,Education,1-10,45617,22,Certificate,41,1977,linkedin,2025-07-12 00:52:04.500784
Senior Software Developer,Healthcare,51-200,72565,11,Master,39,3711,linkedin,2025-07-13 00:52:04.500788
ML Engineer,Non-profit,5000+,67337,19,No Degree,30,1205,linkedin,2025-07-15 00:52:04.500792
Software Architect,Non-profit,1-10,70948,25,Master,40,2450,linkedin,2025-09-10 00:52:04.500796
Lead Software Developer,Retail,1-10,65603,17,PhD,8,2724,linkedin,2025-07-30 00:52:04.500799
Data Engineer,Technology,11-50,76377,24,Bachelor,41,886,linkedin,2025-08-29 00:52:04.500803
VP of Engineering,Real Estate,1-10,67811,9,No Degree,27,4427,linkedin,2025-07-07 00:52:04.500807
Engineering Director,Manufacturing,51-200,89333,20,No Degree,9,4588,linkedin,2025-08-14 00:52:04.500811
Software Developer,Media & Communications,501-1000,121649,8,No Degree,32,2993,linkedin,2025-08-09 00:52:04.500815
Senior Software Developer,Education,501-1000,96921,25,Master,36,521,linkedin,2025-06-22 00:52:04.500819
Technical Lead,Retail,501-1000,90396,15,PhD,38,3966,linkedin,2025-09-13 00:52:04.500823
VP of Engineering,Retail,201-500,122412,5,Master,6,487,linkedin,2025-08-01 00:52:04.500827
Software Developer,Manufacturing,501-1000,95782,21,PhD,22,3305,linkedin,2025-09-04 00:52:04.500831
Software Developer,Retail,5000+,127803,4,Master,48,1911,linkedin,2025-08-06 00:52:04.500835
VP of Engineering,Technology,201-500,159174,21,PhD,29,3645,linkedin,2025-09-10 00:52:04.500839
Software Developer,Retail,51-200,79756,20,Bachelor,37,3055,linkedin,2025-06-27 00:52:04.500843
Site Reliability Engineer,Retail,201-500,89625,14,PhD,36,4505,linkedin,2025-07-06 00:52:04.500847
CTO,Consulting,501-1000,157035,23,Master,42,888,linkedin,2025-07-02 00:52:04.500851
CTO,Media & Communications,51-200,74628,8,Certificate,14,4744,linkedin,2025-07-04 00:52:04.500855
Site Reliability Engineer,Technology,11-50,100457,11,Master,10,4740,linkedin,2025-07-30 00:52:04.500859
ML Engineer,Technology,1-10,112526,1,Master,34,3561,linkedin,2025-08-14 00:52:04.500864
Senior Software Developer,Education,5000+,161038,25,PhD,16,2157,linkedin,2025-06-23 00:52:04.500867
Software Architect,Real Estate,11-50,98440,3,Bachelor,9,4858,linkedin,2025-09-11 00:52:04.500871
VP of Engineering,Healthcare,1001-5000,151902,14,Master,20,4072,linkedin,2025-07-22 00:52:04.500875
Platform Engineer,Consulting,501-1000,154953,4,Master,20,160,linkedin,2025-07-01 00:52:04.500879
Software Architect,Government,1-10,44487,9,PhD,15,2147,linkedin,2025-07-17 00:52:04.500883
Software Developer,Government,11-50,70376,10,Certificate,18,1706,linkedin,2025-08-25 00:52:04.500887
CTO,Government,51-200,75434,21,Master,28,3514,linkedin,2025-08-08 00:52:04.500891
Data Engineer,Manufacturing,201-500,112901,14,No Degree,7,2833,linkedin,2025-07-09 00:52:04.500895
Software Developer,Technology,1-10,101677,23,PhD,40,4816,linkedin,2025-06-25 00:52:04.500899
Site Reliability Engineer,Retail,5000+,145625,7,No Degree,12,2783,linkedin,2025-07-19 00:52:04.500903
Software Developer,Retail,1-10,70082,11,PhD,19,4552,linkedin,2025-06-21 00:52:04.500907
Engineering Director,Energy,201-500,106031,18,Bachelor,40,504,linkedin,2025-07-18 00:52:04.500911
ML Engineer,Education,1001-5000,68472,9,No Degree,11,2410,linkedin,2025-07-12 00:52:04.500915
Senior Software Developer,Government,51-200,69921,22,Bachelor,23,2320,linkedin,2025-07-25 00:52:04.500919
Senior Software Developer,Manufacturing,501-1000,153638,22,No Degree,26,2168,linkedin,2025-09-03 00:52:04.500923
Senior Software Developer,Education,1-10,65645,1,Certificate,28,3499,linkedin,2025-08-30 00:52:04.500927
VP of Engineering,Manufacturing,201-500,103953,18,No Degree,28,2479,linkedin,2025-08-08 00:52:04.500931
Engineering Director,Real Estate,11-50,126029,25,Certificate,19,4176,linkedin,2025-07-16 00:52:04.500935
VP of Engineering,Manufacturing,51-200,62680,20,No Degree,27,473,linkedin,2025-08-27 00:52:04.500939
Software Architect,Real Estate,51-200,68650,10,Master,19,4696,linkedin,2025-09-04 00:52:04.500943
Lead Software Developer,Manufacturing,11-50,122109,13,Certificate,22,4280,linkedin,2025-08-09 00:52:04.500947
Platform Engineer,Non-profit,1-10,53811,17,Certificate,11,2656,linkedin,2025-07-30 00:52:04.500951
Data Engineer,Healthcare,501-1000,117795,8,Certificate,18,2845,linkedin,2025-07-11 00:52:04.500955
Platform Engineer,Technology,51-200,86474,25,Master,17,810,linkedin,2025-06-25 00:52:04.500959
Senior Software Developer,Retail,1001-5000,137322,7,Bachelor,48,1713,linkedin,2025-08-04 00:52:04.500962
Senior Software Developer,Manufacturing,5000+,151103,4,Certificate,5,1442,linkedin,2025-07-17 00:52:04.500966
Technical Lead,Government,201-500,60725,7,PhD,24,3837,linkedin,2025-07-06 00:52:04.500970
CTO,Consulting,11-50,99001,24,Master,19,1003,linkedin,2025-07-18 00:52:04.500974
Senior Software Developer,Manufacturing,501-1000,104437,23,Certificate,40,1414,linkedin,2025-08-27 00:52:04.500978
Data Engineer,Retail,501-1000,121295,11,No Degree,22,1714,linkedin,2025-09-02 00:52:04.500982
Platform Engineer,Consulting,1001-5000,106731,25,PhD,49,4159,linkedin,2025-08-10 00:52:04.500986
Data Engineer,Technology,201-500,178369,10,Certificate,22,326,linkedin,2025-07-22 00:52:04.500990
ML Engineer,Consulting,201-500,154111,5,No Degree,45,3539,linkedin,2025-09-04 00:52:04.500994
CTO,Energy,51-200,86374,14,PhD,33,4073,linkedin,2025-07-04 00:52:04.500997
Software Developer,Non-profit,201-500,69192,4,No Degree,20,2468,linkedin,2025-08-15 00:52:04.501001
Engineering Director,Healthcare,1-10,80748,3,No Degree,7,4993,linkedin,2025-08-08 00:52:04.501005
Engineering Director,Media & Communications,51-200,76515,3,No Degree,47,1132,linkedin,2025-08-11 00:52:04.501009
Engineering Director,Financial Services,11-50,106430,17,Certificate,20,2649,linkedin,2025-07-09 00:52:04.501013
Software Developer,Media & Communications,1-10,70864,14,Bachelor,47,3798,linkedin,2025-09-11 00:52:04.501017
Platform Engineer,Real Estate,201-500,146636,9,No Degree,12,2592,linkedin,2025-08-09 00:52:04.501021
Software Architect,Retail,11-50,105733,16,PhD,16,264,linkedin,2025-09-05 00:52:04.501025
VP of Engineering,Retail,501-1000,140637,4,PhD,32,994,linkedin,2025-07-31 00:52:04.501029
Technical Lead,Real Estate,1-10,83028,12,Certificate,19,1638,linkedin,2025-07-19 00:52:04.501033
Data Engineer,Manufacturing,51-200,68463,1,No Degree,10,1751,linkedin,2025-08-14 00:52:04.501036
Platform Engineer,Financial Services,201-500,144782,17,Bachelor,5,147,linkedin,2025-07-17 00:52:04.501040
ML Engineer,Financial Services,51-200,165268,16,Bachelor,47,2550,linkedin,2025-08-04 00:52:04.501044
Technical Lead,Financial Services,501-1000,109395,12,Bachelor,22,4871,linkedin,2025-06-21 00:52:04.501048
Engineering Director,Real Estate,51-200,110118,18,Master,39,4084,linkedin,2025-08-21 00:52:04.501052
Data Engineer,Manufacturing,1-10,120129,15,Master,43,3328,linkedin,2025-07-25 00:52:04.501056
Senior Software Developer,Energy,5000+,168305,17,Bachelor,39,2207,linkedin,2025-08-18 00:52:04.501060
Data Engineer,Government,1-10,82293,13,No Degree,24,4437,linkedin,2025-08-31 00:52:04.501064
Site Reliability Engineer,Education,11-50,72133,7,Bachelor,43,357,linkedin,2025-07-21 00:52:04.501068
Technical Lead,Technology,1001-5000,199400,13,PhD,21,2888,linkedin,2025-09-17 00:52:04.501072
Software Developer,Consulting,1001-5000,121603,1,Certificate,47,121,linkedin,2025-08-15 00:52:04.501076
Site Reliability Engineer,Retail,1001-5000,148072,4,No Degree,44,489,linkedin,2025-07-14 00:52:04.501079
Data Engineer,Financial Services,201-500,170234,8,Master,8,333,linkedin,2025-08-26 00:52:04.501084
Platform Engineer,Education,5000+,114111,13,Master,50,1236,linkedin,2025-07-21 00:52:04.501088
Lead Software Developer,Healthcare,11-50,124992,16,Master,32,2754,linkedin,2025-09-10 00:52:04.501092
Software Architect,Media & Communications,11-50,73983,21,Certificate,7,2819,linkedin,2025-07-05 00:52:04.501096
Technical Lead,Technology,201-500,129497,8,PhD,18,2781,linkedin,2025-08-30 00:52:04.501099
VP of Engineering,Healthcare,5000+,149791,22,PhD,21,4930,linkedin,2025-08-22 00:52:04.501103
Engineering Director,Technology,5000+,128395,7,No Degree,34,1655,linkedin,2025-08-09 00:52:04.501108
Senior Software Developer,Retail,11-50,90350,22,PhD,44,4912,linkedin,2025-07-24 00:52:04.501111
Lead Software Developer,Media & Communications,201-500,59592,2,Certificate,8,308,linkedin,2025-07-01 00:52:04.501116
ML Engineer,Government,1001-5000,124659,15,Master,34,2191,linkedin,2025-09-16 00:52:04.501120
Engineering Director,Energy,1-10,76886,9,Master,12,3268,linkedin,2025-08-11 00:52:04.501124
Senior Software Developer,Financial Services,501-1000,138816,20,Bachelor,49,1739,linkedin,2025-07-24 00:52:04.501128
VP of Engineering,Retail,51-200,75183,23,Bachelor,46,1381,linkedin,2025-06-20 00:52:04.501131
Technical Lead,Retail,5000+,125200,6,Certificate,7,445,linkedin,2025-07-27 00:52:04.501135
Data Engineer,Healthcare,5000+,171473,21,No Degree,47,1600,linkedin,2025-08-27 00:52:04.501139
Data Engineer,Consulting,51-200,129610,7,PhD,34,1637,linkedin,2025-07-11 00:52:04.501143
ML Engineer,Real Estate,51-200,78243,19,PhD,28,4706,linkedin,2025-07-07 00:52:04.501146
Lead Software Developer,Healthcare,51-200,82397,3,Certificate,22,4082,linkedin,2025-08-07 00:52:04.501150
ML Engineer,Healthcare,51-200,121661,20,Certificate,34,3011,linkedin,2025-07-29 00:52:04.501154
Engineering Director,Retail,1-10,62275,6,No Degree,37,2828,linkedin,2025-07-24 00:52:04.501158
Data Engineer,Consulting,11-50,104136,14,Certificate,31,3568,linkedin,2025-08-04 00:52:04.501161
Software Developer,Education,11-50,70516,3,Bachelor,10,1473,linkedin,2025-09-01 00:52:04.501165
Senior Software Developer,Real Estate,11-50,92170,8,No Degree,36,3019,linkedin,2025-08-22 00:52:04.501169
Platform Engineer,Real Estate,5000+,161537,9,Master,9,2568,linkedin,2025-08-12 00:52:04.501173
Data Engineer,Energy,11-50,58504,11,PhD,48,2816,linkedin,2025-07-21 00:52:04.501176
ML Engineer,Media & Communications,501-1000,59531,17,Master,44,3581,linkedin,2025-07-13 00:52:04.501180
Data Engineer,Consulting,1001-5000,127176,5,PhD,14,3144,linkedin,2025-08-12 00:52:04.501184
Software Developer,Consulting,501-1000,198412,7,PhD,49,2138,linkedin,2025-08-05 00:52:04.501188
Senior Software Developer,Healthcare,51-200,157329,3,Certificate,17,2447,linkedin,2025-07-31 00:52:04.501191
Software Developer,Manufacturing,5000+,193886,14,No Degree,41,4729,linkedin,2025-08-29 00:52:04.501195
Technical Lead,Energy,201-500,99458,4,PhD,35,2728,linkedin,2025-07-26 00:52:04.501199
Software Developer,Financial Services,501-1000,88493,2,Bachelor,7,1847,linkedin,2025-09-15 00:52:04.501203
Lead Software Developer,Healthcare,1-10,35000,23,Master,18,4868,linkedin,2025-08-05 00:52:04.501207
Senior Software Developer,Retail,11-50,72374,4,Certificate,43,4294,linkedin,2025-08-20 00:52:04.501210
Software Architect,Healthcare,11-50,89392,18,PhD,21,908,linkedin,2025-08-15 00:52:04.501214
Lead Software Developer,Healthcare,201-500,152326,8,Master,31,1145,linkedin,2025-09-03 00:52:04.501218
Technical Lead,Media & Communications,51-200,115610,7,Certificate,11,2853,linkedin,2025-06-27 00:52:04.501222
Technical Lead,Technology,51-200,130521,4,No Degree,30,4101,linkedin,2025-07-10 00:52:04.501225
CTO,Education,501-1000,70911,17,Bachelor,10,1121,linkedin,2025-06-28 00:52:04.501229
ML Engineer,Retail,1-10,57745,7,Master,32,4496,linkedin,2025-08-10 00:52:04.501233
Software Architect,Healthcare,11-50,100025,23,Certificate,17,2866,linkedin,2025-08-03 00:52:04.501237
VP of Engineering,Media & Communications,501-1000,133865,22,Bachelor,18,1674,linkedin,2025-07-30 00:52:04.501240
ML Engineer,Energy,1001-5000,135599,7,Bachelor,7,2895,linkedin,2025-07-23 00:52:04.501244
ML Engineer,Financial Services,201-500,108459,8,Master,17,4590,linkedin,2025-09-05 00:52:04.501248
Technical Lead,Retail,51-200,110453,11,Master,34,4680,linkedin,2025-07-19 00:52:04.501252
Platform Engineer,Manufacturing,5000+,147161,6,Certificate,5,1592,linkedin,2025-08-21 00:52:04.501255
VP of Engineering,Retail,51-200,69571,1,No Degree,19,219,linkedin,2025-06-30 00:52:04.501259
ML Engineer,Non-profit,501-1000,64152,14,No Degree,43,741,linkedin,2025-07-03 00:52:04.501263
Engineering Director,Energy,1-10,89081,16,No Degree,32,4158,linkedin,2025-07-07 00:52:04.501267
ML Engineer,Manufacturing,501-1000,107316,20,No Degree,18,4397,linkedin,2025-09-04 00:52:04.501270
Platform Engineer,Non-profit,1-10,74335,21,No Degree,23,4703,linkedin,2025-06-22 00:52:04.501274
Technical Lead,Education,201-500,94073,4,Master,20,783,linkedin,2025-07-03 00:52:04.501278
Platform Engineer,Energy,1-10,66754,2,Master,23,845,linkedin,2025-08-02 00:52:04.501282
Senior Software Developer,Retail,201-500,104233,11,No Degree,30,1883,linkedin,2025-07-22 00:52:04.501286
Engineering Director,Consulting,11-50,104225,7,Master,35,380,linkedin,2025-09-01 00:52:04.501289
ML Engineer,Government,501-1000,74592,13,Certificate,32,4209,linkedin,2025-07-24 00:52:04.501293
Engineering Director,Government,5000+,82125,18,PhD,18,670,linkedin,2025-09-06 00:52:04.501297
Lead Software Developer,Manufacturing,1-10,89326,2,Certificate,27,790,linkedin,2025-08-09 00:52:04.501301
ML Engineer,Energy,51-200,115075,15,Master,44,3397,linkedin,2025-08-02 00:52:04.501305
Technical Lead,Real Estate,1001-5000,142141,7,Bachelor,6,2884,linkedin,2025-08-03 00:52:04.501309
CTO,Education,1-10,83832,22,Bachelor,18,550,linkedin,2025-06-25 00:52:04.501312
CTO,Healthcare,51-200,90346,19,Certificate,7,4664,linkedin,2025-06-29 00:52:04.501316
ML Engineer,Government,5000+,150935,11,No Degree,29,3797,linkedin,2025-07-02 00:52:04.501320
Engineering Director,Consulting,5000+,123653,17,PhD,18,2195,linkedin,2025-08-28 00:52:04.501323
Senior Software Developer,Consulting,51-200,85138,19,PhD,26,1468,linkedin,2025-09-05 00:52:04.501327
Engineering Director,Healthcare,1001-5000,76077,18,Certificate,7,3575,linkedin,2025-08-31 00:52:04.501331
Software Developer,Real Estate,5000+,118177,20,No Degree,11,4618,linkedin,2025-09-12 00:52:04.501335
Technical Lead,Real Estate,1-10,66429,21,No Degree,44,4890,linkedin,2025-09-03 00:52:04.501339
Senior Software Developer,Retail,5000+,150487,10,Bachelor,23,117,linkedin,2025-08-03 00:52:04.501342
Data Engineer,Technology,51-200,131030,1,Bachelor,50,2083,linkedin,2025-06-23 00:52:04.501346
CTO,Media & Communications,1001-5000,86666,9,Master,43,3389,linkedin,2025-08-20 00:52:04.501350
Technical Lead,Manufacturing,1-10,68538,6,Master,31,2583,linkedin,2025-07-22 00:52:04.501353
Engineering Director,Healthcare,1001-5000,123234,9,Master,49,4809,linkedin,2025-08-26 00:52:04.501357
Engineering Director,Media & Communications,11-50,47538,20,Certificate,5,2469,linkedin,2025-09-01 00:52:04.501361
Software Developer,Media & Communications,501-1000,86043,3,Certificate,23,2364,linkedin,2025-08-31 00:52:04.501365
Platform Engineer,Retail,11-50,69023,19,Certificate,38,2864,linkedin,2025-06-29 00:52:04.501369
CTO,Healthcare,5000+,198734,14,No Degree,16,256,linkedin,2025-07-07 00:52:04.501373
Data Engineer,Financial Services,1001-5000,181175,18,Bachelor,15,1348,linkedin,2025-08-09 00:52:04.501376
VP of Engineering,Manufacturing,1-10,88581,9,Master,39,420,linkedin,2025-07-02 00:52:04.501380
Software Developer,Education,11-50,42773,1,No Degree,34,4908,linkedin,2025-09-16 00:52:04.501384
VP of Engineering,Non-profit,1001-5000,112259,8,PhD,11,2706,linkedin,2025-06-30 00:52:04.501388
Senior Software Developer,Financial Services,201-500,193887,11,Master,20,1060,linkedin,2025-07-23 00:52:04.501391
Lead Software Developer,Technology,1001-5000,80341,12,Master,20,4186,linkedin,2025-07-03 00:52:04.501395
Software Developer,Education,501-1000,75118,13,Bachelor,24,2030,linkedin,2025-07-20 00:52:04.501399
Engineering Director,Education,501-1000,102503,15,Master,28,1724,linkedin,2025-07-20 00:52:04.501402
CTO,Financial Services,11-50,138983,2,Bachelor,25,1987,linkedin,2025-08-18 00:52:04.501406
Software Developer,Consulting,1-10,75730,7,Master,26,3235,linkedin,2025-07-06 00:52:04.501409
Technical Lead,Manufacturing,201-500,96518,25,PhD,9,1663,linkedin,2025-08-18 00:52:04.501413
Senior Software Developer,Financial Services,51-200,113137,3,No Degree,31,4221,linkedin,2025-08-19 00:52:04.501416
Technical Lead,Non-profit,501-1000,82002,25,PhD,15,1255,linkedin,2025-07-27 00:52:04.501420
VP of Engineering,Real Estate,11-50,111089,3,PhD,24,1838,linkedin,2025-09-15 00:52:04.501424
ML Engineer,Non-profit,1-10,42945,7,PhD,49,4756,linkedin,2025-09-02 00:52:04.501427
Senior Software Developer,Consulting,51-200,142523,13,PhD,17,3206,linkedin,2025-07-24 00:52:04.501431
Senior Software Developer,Education,11-50,55033,13,PhD,31,1703,linkedin,2025-08-06 00:52:04.501435
Site Reliability Engineer,Financial Services,51-200,104816,11,Master,16,4319,linkedin,2025-06-28 00:52:04.501438
Software Architect,Healthcare,11-50,113297,11,Master,24,4290,linkedin,2025-06-25 00:52:04.501442
Site Reliability Engineer,Retail,11-50,105206,23,No Degree,33,4754,linkedin,2025-08-21 00:52:04.501445
Technical Lead,Energy,501-1000,138265,14,PhD,33,3836,linkedin,2025-08-08 00:52:04.501449
Software Architect,Government,1001-5000,66299,8,PhD,16,1077,linkedin,2025-06-24 00:52:04.501452
CTO,Non-profit,1-10,47002,22,Certificate,23,153,linkedin,2025-07-24 00:52:04.501456
Senior Software Developer,Media & Communications,11-50,103091,7,Bachelor,25,2401,linkedin,2025-09-12 00:52:04.501460
Technical Lead,Healthcare,51-200,105585,15,No Degree,18,168,linkedin,2025-07-22 00:52:04.501464
Software Developer,Retail,1-10,55599,13,Master,14,4175,linkedin,2025-06-28 00:52:04.501467
Software Architect,Technology,1001-5000,178945,9,No Degree,12,2170,linkedin,2025-09-04 00:52:04.501472
Platform Engineer,Technology,51-200,101430,5,Certificate,43,3351,linkedin,2025-08-23 00:52:04.501476
Technical Lead,Manufacturing,11-50,123857,15,Master,9,1635,linkedin,2025-07-28 00:52:04.501479
Platform Engineer,Media & Communications,51-200,131689,10,Master,29,4084,linkedin,2025-07-26 00:52:04.501483
Platform Engineer,Government,5000+,122468,16,No Degree,32,4022,linkedin,2025-06-25 00:52:04.501487
VP of Engineering,Media & Communications,201-500,140056,21,Master,29,4981,linkedin,2025-07-14 00:52:04.501490
Site Reliability Engineer,Manufacturing,11-50,86884,1,Bachelor,49,2004,linkedin,2025-08-22 00:52:04.501494
Lead Software Developer,Consulting,201-500,149396,20,No Degree,40,1204,linkedin,2025-09-05 00:52:04.501498
Software Developer,Education,11-50,93669,21,Certificate,47,4064,linkedin,2025-09-02 00:52:04.501501
ML Engineer,Non-profit,201-500,77639,3,PhD,43,2419,linkedin,2025-06-30 00:52:04.501505
Data Engineer,Financial Services,51-200,124515,4,PhD,34,3005,linkedin,2025-07-25 00:52:04.501509
VP of Engineering,Financial Services,1001-5000,99217,2,Master,39,2419,linkedin,2025-07-05 00:52:04.501513
Site Reliability Engineer,Retail,11-50,83723,13,Bachelor,31,4322,linkedin,2025-08-25 00:52:04.501516
Data Engineer,Healthcare,201-500,138613,19,PhD,50,3409,linkedin,2025-09-08 00:52:04.501520
Senior Software Developer,Media & Communications,5000+,164442,1,No Degree,29,3233,linkedin,2025-09-09 00:52:04.501523
Engineering Director,Real Estate,501-1000,128374,6,No Degree,17,1394,linkedin,2025-08-05 00:52:04.501527
Data Engineer,Education,501-1000,78858,2,No Degree,37,2844,linkedin,2025-09-12 00:52:04.501531
ML Engineer,Manufacturing,1-10,38440,7,Bachelor,50,1923,linkedin,2025-08-12 00:52:04.501534
Site Reliability Engineer,Energy,201-500,91562,24,Bachelor,10,1607,linkedin,2025-09-11 00:52:04.501538
CTO,Healthcare,11-50,86894,1,Master,19,4426,linkedin,2025-06-29 00:52:04.501542
Platform Engineer,Retail,501-1000,105081,11,Bachelor,49,1241,linkedin,2025-07-04 00:52:04.501545
Lead Software Developer,Real Estate,1-10,87752,15,Master,14,1713,linkedin,2025-09-12 00:52:04.501549
Software Architect,Consulting,51-200,170591,24,No Degree,14,1923,linkedin,2025-08-20 00:52:04.501552
Data Engineer,Non-profit,501-1000,82264,22,PhD,9,964,linkedin,2025-06-20 00:52:04.501556
Software Architect,Financial Services,1001-5000,163531,25,No Degree,42,4172,linkedin,2025-07-19 00:52:04.501559
Data Engineer,Consulting,5000+,149257,22,Certificate,43,1388,linkedin,2025-07-23 00:52:04.501563
CTO,Government,201-500,86199,15,No Degree,15,2114,linkedin,2025-07-29 00:52:04.501566
Platform Engineer,Technology,501-1000,117511,23,PhD,16,1166,linkedin,2025-07-04 00:52:04.501570
VP of Engineering,Manufacturing,51-200,97854,4,PhD,21,2231,linkedin,2025-07-14 00:52:04.501574
Engineering Director,Manufacturing,201-500,116277,9,Master,6,3400,linkedin,2025-08-29 00:52:04.501577
VP of Engineering,Technology,501-1000,155968,3,PhD,48,4663,linkedin,2025-06-28 00:52:04.501581
ML Engineer,Media & Communications,501-1000,127039,21,Bachelor,42,4243,linkedin,2025-06-20 00:52:04.501584
Lead Software Developer,Education,1-10,67392,6,No Degree,37,748,linkedin,2025-09-09 00:52:04.501588
Software Developer,Consulting,5000+,88901,1,No Degree,22,2046,linkedin,2025-06-27 00:52:04.501591
ML Engineer,Consulting,1-10,105720,10,Bachelor,42,4603,linkedin,2025-09-03 00:52:04.501595
Site Reliability Engineer,Financial Services,1001-5000,143895,15,No Degree,31,2141,linkedin,2025-08-24 00:52:04.501598
Platform Engineer,Technology,51-200,89665,1,Certificate,22,4781,linkedin,2025-08-05 00:52:04.501602
Technical Lead,Technology,51-200,89400,8,Master,33,893,linkedin,2025-07-04 00:52:04.501606
ML Engineer,Healthcare,501-1000,138991,21,Bachelor,14,4360,linkedin,2025-08-13 00:52:04.501609
Technical Lead,Real Estate,5000+,125599,4,Certificate,10,3194,linkedin,2025-07-04 00:52:04.501613
Platform Engineer,Consulting,201-500,72670,6,PhD,8,4356,linkedin,2025-07-12 00:52:04.501617
Senior Software Developer,Retail,1001-5000,138259,21,Certificate,19,1187,linkedin,2025-08-18 00:52:04.501621
Senior Software Developer,Government,11-50,43782,16,Bachelor,25,4054,linkedin,2025-06-24 00:52:04.501624
Senior Software Developer,Media & Communications,1-10,78656,8,Certificate,31,1400,linkedin,2025-08-26 00:52:04.501628
Site Reliability Engineer,Manufacturing,51-200,100664,20,PhD,12,2773,linkedin,2025-09-01 00:52:04.501631
Data Engineer,Retail,11-50,104429,17,PhD,10,3635,linkedin,2025-08-19 00:52:04.501635
CTO,Retail,501-1000,164778,3,Bachelor,31,2417,linkedin,2025-08-13 00:52:04.501638
VP of Engineering,Energy,201-500,68847,17,PhD,35,971,linkedin,2025-08-24 00:52:04.501642
Platform Engineer,Healthcare,501-1000,123754,2,Bachelor,8,1556,linkedin,2025-07-02 00:52:04.501646
Senior Software Developer,Real Estate,51-200,88437,17,PhD,48,1089,linkedin,2025-09-05 00:52:04.501649
Engineering Director,Government,501-1000,101089,3,Bachelor,8,868,linkedin,2025-08-12 00:52:04.501653
Software Developer,Manufacturing,11-50,90109,7,PhD,20,2867,linkedin,2025-06-28 00:52:04.501657
VP of Engineering,Non-profit,501-1000,72766,6,No Degree,42,220,linkedin,2025-09-05 00:52:04.501660
Software Developer,Media & Communications,501-1000,101434,4,Master,49,2085,linkedin,2025-08-05 00:52:04.501664
Software Architect,Manufacturing,5000+,95878,3,Certificate,36,3233,linkedin,2025-07-29 00:52:04.501667
Lead Software Developer,Technology,201-500,169400,4,Certificate,40,4876,linkedin,2025-08-25 00:52:04.501671
Data Engineer,Education,1001-5000,110142,18,No Degree,22,3938,linkedin,2025-07-14 00:52:04.501675
CTO,Real Estate,1-10,93437,18,Bachelor,44,1728,linkedin,2025-07-11 00:52:04.501678
Technical Lead,Consulting,201-500,115669,22,Certificate,7,2951,linkedin,2025-09-06 00:52:04.501682
Platform Engineer,Technology,5000+,144508,25,PhD,35,2005,linkedin,2025-09-17 00:52:04.501685
Data Engineer,Real Estate,1-10,55512,6,No Degree,15,873,linkedin,2025-08-21 00:52:04.501689
Site Reliability Engineer,Financial Services,1-10,115947,23,PhD,37,1514,linkedin,2025-08-09 00:52:04.501692
Senior Software Developer,Real Estate,5000+,98426,24,PhD,19,271,linkedin,2025-08-13 00:52:04.501696
Technical Lead,Media & Communications,201-500,152796,19,Certificate,39,4922,linkedin,2025-08-11 00:52:04.501700
Engineering Director,Healthcare,501-1000,84405,14,Master,24,4848,linkedin,2025-09-15 00:52:04.501703
Senior Software Developer,Technology,501-1000,158339,15,Certificate,38,1952,linkedin,2025-08-17 00:52:04.501707
Engineering Director,Media & Communications,1-10,105770,2,PhD,11,3082,linkedin,2025-09-06 00:52:04.501710
Senior Software Developer,Real Estate,11-50,98305,21,Bachelor,18,315,linkedin,2025-07-23 00:52:04.501714
VP of Engineering,Manufacturing,1-10,79337,16,Bachelor,29,970,linkedin,2025-07-30 00:52:04.501717
Site Reliability Engineer,Real Estate,201-500,79198,18,PhD,31,2646,linkedin,2025-06-21 00:52:04.501721
Platform Engineer,Government,11-50,44771,21,Bachelor,43,4377,linkedin,2025-07-17 00:52:04.501725
Data Engineer,Healthcare,51-200,124617,25,No Degree,9,4293,linkedin,2025-09-04 00:52:04.501728
VP of Engineering,Government,501-1000,125540,13,No Degree,13,1954,linkedin,2025-08-13 00:52:04.501732
Technical Lead,Media & Communications,1-10,67661,11,PhD,33,1264,linkedin,2025-08-09 00:52:04.501735
